id_region,id_date,id_classe_age_hosp,nbr_rea,nbr_dc
1,1,0,0,0
1,1,9,0,0
1,1,19,0,0
1,1,29,0,0
1,1,39,0,0
1,1,49,0,0
1,1,59,0,0
1,1,69,0,0
1,1,79,0,0
1,1,89,0,0
1,1,90,0,0
2,1,0,5,1
2,1,9,0,0
2,1,19,0,0
2,1,29,1,0
2,1,39,0,0
2,1,49,1,0
2,1,59,0,0
2,1,69,3,0
2,1,79,0,0
2,1,89,0,1
2,1,90,0,0
3,1,0,0,0
3,1,9,0,0
3,1,19,0,0
3,1,29,0,0
3,1,39,0,0
3,1,49,0,0
3,1,59,0,0
3,1,69,0,0
3,1,79,0,0
3,1,89,0,0
3,1,90,0,0
4,1,0,2,0
4,1,9,0,0
4,1,19,0,0
4,1,29,0,0
4,1,39,0,0
4,1,49,0,0
4,1,59,0,0
4,1,69,0,0
4,1,79,1,0
4,1,89,1,0
4,1,90,0,0
6,1,0,0,0
6,1,9,0,0
6,1,19,0,0
6,1,29,0,0
6,1,39,0,0
6,1,49,0,0
6,1,59,0,0
6,1,69,0,0
6,1,79,0,0
6,1,89,0,0
6,1,90,0,0
11,1,0,294,36
11,1,9,2,0
11,1,19,1,0
11,1,29,2,0
11,1,39,13,0
11,1,49,27,4
11,1,59,67,0
11,1,69,73,2
11,1,79,70,8
11,1,89,30,16
11,1,90,4,4
24,1,0,5,1
24,1,9,0,0
24,1,19,0,0
24,1,29,0,0
24,1,39,0,0
24,1,49,0,0
24,1,59,0,0
24,1,69,1,0
24,1,79,2,1
24,1,89,2,0
24,1,90,0,0
27,1,0,33,6
27,1,9,0,0
27,1,19,0,0
27,1,29,0,0
27,1,39,1,0
27,1,49,1,0
27,1,59,2,0
27,1,69,10,0
27,1,79,13,1
27,1,89,6,3
27,1,90,0,2
28,1,0,4,3
28,1,9,0,0
28,1,19,0,0
28,1,29,0,0
28,1,39,0,0
28,1,49,0,0
28,1,59,0,0
28,1,69,2,1
28,1,79,2,1
28,1,89,0,1
28,1,90,0,0
32,1,0,87,21
32,1,9,0,0
32,1,19,1,0
32,1,29,2,0
32,1,39,4,0
32,1,49,3,0
32,1,59,13,0
32,1,69,25,3
32,1,79,31,6
32,1,89,8,10
32,1,90,0,2
44,1,0,204,120
44,1,9,0,0
44,1,19,2,0
44,1,29,1,1
44,1,39,6,0
44,1,49,14,1
44,1,59,30,3
44,1,69,69,9
44,1,79,58,21
44,1,89,22,53
44,1,90,0,32
52,1,0,4,1
52,1,9,0,0
52,1,19,0,0
52,1,29,0,0
52,1,39,0,0
52,1,49,1,0
52,1,59,0,0
52,1,69,1,0
52,1,79,1,0
52,1,89,1,0
52,1,90,0,1
53,1,0,23,7
53,1,9,0,0
53,1,19,0,0
53,1,29,0,0
53,1,39,0,0
53,1,49,0,0
53,1,59,2,0
53,1,69,2,0
53,1,79,11,0
53,1,89,8,2
53,1,90,0,5
75,1,0,12,2
75,1,9,0,0
75,1,19,0,0
75,1,29,2,0
75,1,39,0,0
75,1,49,1,0
75,1,59,1,0
75,1,69,4,0
75,1,79,2,0
75,1,89,2,1
75,1,90,0,1
76,1,0,39,6
76,1,9,0,0
76,1,19,0,0
76,1,29,0,0
76,1,39,0,0
76,1,49,1,0
76,1,59,5,1
76,1,69,13,0
76,1,79,14,1
76,1,89,6,4
76,1,90,0,0
84,1,0,35,7
84,1,9,0,0
84,1,19,0,0
84,1,29,0,0
84,1,39,0,1
84,1,49,3,0
84,1,59,8,0
84,1,69,9,1
84,1,79,13,2
84,1,89,2,3
84,1,90,0,0
93,1,0,24,7
93,1,9,0,0
93,1,19,0,0
93,1,29,1,0
93,1,39,0,0
93,1,49,1,0
93,1,59,4,0
93,1,69,8,1
93,1,79,8,1
93,1,89,2,4
93,1,90,0,1
94,1,0,0,0
94,1,9,0,0
94,1,19,0,0
94,1,29,0,0
94,1,39,0,0
94,1,49,0,0
94,1,59,0,0
94,1,69,0,0
94,1,79,0,0
94,1,89,0,0
94,1,90,0,0
1,2,0,0,0
1,2,9,0,0
1,2,19,0,0
1,2,29,0,0
1,2,39,0,0
1,2,49,0,0
1,2,59,0,0
1,2,69,0,0
1,2,79,0,0
1,2,89,0,0
1,2,90,0,0
2,2,0,5,1
2,2,9,0,0
2,2,19,0,0
2,2,29,1,0
2,2,39,0,0
2,2,49,1,0
2,2,59,0,0
2,2,69,3,0
