id_dep,id_date,id_type_vac,jour,n_dose1,n_dose2,n_cum_dose1,n_cum_dose2
0,285,1,27/12/2020,0,0,0,0
0,285,2,27/12/2020,0,0,0,0
0,285,3,27/12/2020,0,0,0,0
1,285,1,27/12/2020,0,0,0,0
1,285,2,27/12/2020,0,0,0,0
1,285,3,27/12/2020,0,0,0,0
2,285,1,27/12/2020,0,0,0,0
2,285,2,27/12/2020,0,0,0,0
2,285,3,27/12/2020,0,0,0,0
3,285,1,27/12/2020,0,0,0,0
3,285,2,27/12/2020,0,0,0,0
3,285,3,27/12/2020,0,0,0,0
4,285,1,27/12/2020,0,0,0,0
4,285,2,27/12/2020,0,0,0,0
4,285,3,27/12/2020,0,0,0,0
5,285,1,27/12/2020,0,0,0,0
5,285,2,27/12/2020,0,0,0,0
5,285,3,27/12/2020,0,0,0,0
6,285,1,27/12/2020,0,0,0,0
6,285,2,27/12/2020,0,0,0,0
6,285,3,27/12/2020,0,0,0,0
7,285,1,27/12/2020,0,0,0,0
7,285,2,27/12/2020,0,0,0,0
7,285,3,27/12/2020,0,0,0,0
8,285,1,27/12/2020,0,0,0,0
8,285,2,27/12/2020,0,0,0,0
8,285,3,27/12/2020,0,0,0,0
9,285,1,27/12/2020,0,0,0,0
9,285,2,27/12/2020,0,0,0,0
9,285,3,27/12/2020,0,0,0,0
10,285,1,27/12/2020,0,0,0,0
10,285,2,27/12/2020,0,0,0,0
10,285,3,27/12/2020,0,0,0,0
11,285,1,27/12/2020,0,0,0,0
11,285,2,27/12/2020,0,0,0,0
11,285,3,27/12/2020,0,0,0,0
12,285,1,27/12/2020,0,0,0,0
12,285,2,27/12/2020,0,0,0,0
12,285,3,27/12/2020,0,0,0,0
13,285,1,27/12/2020,0,0,0,0
13,285,2,27/12/2020,0,0,0,0
13,285,3,27/12/2020,0,0,0,0
14,285,1,27/12/2020,0,0,0,0
14,285,2,27/12/2020,0,0,0,0
14,285,3,27/12/2020,0,0,0,0
15,285,1,27/12/2020,0,0,0,0
15,285,2,27/12/2020,0,0,0,0
15,285,3,27/12/2020,0,0,0,0
16,285,1,27/12/2020,0,0,0,0
16,285,2,27/12/2020,0,0,0,0
16,285,3,27/12/2020,0,0,0,0
17,285,1,27/12/2020,0,0,0,0
17,285,2,27/12/2020,0,0,0,0
17,285,3,27/12/2020,0,0,0,0
18,285,1,27/12/2020,0,0,0,0
18,285,2,27/12/2020,0,0,0,0
18,285,3,27/12/2020,0,0,0,0
19,285,1,27/12/2020,0,0,0,0
19,285,2,27/12/2020,0,0,0,0
19,285,3,27/12/2020,0,0,0,0
21,285,1,27/12/2020,4,0,4,0
21,285,2,27/12/2020,0,0,0,0
21,285,3,27/12/2020,0,0,0,0
22,285,1,27/12/2020,0,0,0,0
22,285,2,27/12/2020,0,0,0,0
22,285,3,27/12/2020,0,0,0,0
23,285,1,27/12/2020,0,0,0,0
23,285,2,27/12/2020,0,0,0,0
23,285,3,27/12/2020,0,0,0,0
24,285,1,27/12/2020,0,0,0,0
24,285,2,27/12/2020,0,0,0,0
24,285,3,27/12/2020,0,0,0,0
25,285,1,27/12/2020,0,0,0,0
25,285,2,27/12/2020,0,0,0,0
25,285,3,27/12/2020,0,0,0,0
26,285,1,27/12/2020,0,0,0,0
26,285,2,27/12/2020,0,0,0,0
26,285,3,27/12/2020,0,0,0,0
27,285,1,27/12/2020,0,0,0,0
27,285,2,27/12/2020,0,0,0,0
27,285,3,27/12/2020,0,0,0,0
28,285,1,27/12/2020,0,0,0,0
28,285,2,27/12/2020,0,0,0,0
28,285,3,27/12/2020,0,0,0,0
29,285,1,27/12/2020,0,0,0,0
29,285,2,27/12/2020,0,0,0,0
29,285,3,27/12/2020,0,0,0,0
2A,285,1,27/12/2020,0,0,0,0
2A,285,2,27/12/2020,0,0,0,0
2A,285,3,27/12/2020,0,0,0,0
2B,285,1,27/12/2020,0,0,0,0
2B,285,2,27/12/2020,0,0,0,0
2B,285,3,27/12/2020,0,0,0,0
30,285,1,27/12/2020,0,0,0,0
30,285,2,27/12/2020,0,0,0,0
30,285,3,27/12/2020,0,0,0,0
31,285,1,27/12/2020,0,0,0,0
31,285,2,27/12/2020,0,0,0,0
31,285,3,27/12/2020,0,0,0,0
32,285,1,27/12/2020,0,0,0,0
32,285,2,27/12/2020,0,0,0,0
32,285,3,27/12/2020,0,0,0,0
33,285,1,27/12/2020,0,0,0,0
33,285,2,27/12/2020,0,0,0,0
33,285,3,27/12/2020,0,0,0,0
34,285,1,27/12/2020,0,0,0,0
34,285,2,27/12/2020,0,0,0,0
34,285,3,27/12/2020,0,0,0,0
35,285,1,27/12/2020,0,0,0,0
35,285,2,27/12/2020,0,0,0,0
35,285,3,27/12/2020,0,0,0,0
36,285,1,27/12/2020,0,0,0,0
36,285,2,27/12/2020,0,0,0,0
36,285,3,27/12/2020,0,0,0,0
37,285,1,27/12/2020,0,0,0,0
37,285,2,27/12/2020,0,0,0,0
37,285,3,27/12/2020,0,0,0,0
38,285,1,27/12/2020,0,0,0,0
38,285,2,27/12/2020,0,0,0,0
38,285,3,27/12/2020,0,0,0,0
39,285,1,27/12/2020,0,0,0,0
39,285,2,27/12/2020,0,0,0,0
39,285,3,27/12/2020,0,0,0,0
40,285,1,27/12/2020,0,0,0,0
40,285,2,27/12/2020,0,0,0,0
40,285,3,27/12/2020,0,0,0,0
41,285,1,27/12/2020,0,0,0,0
41,285,2,27/12/2020,0,0,0,0
41,285,3,27/12/2020,0,0,0,0
42,285,1,27/12/2020,0,0,0,0
42,285,2,27/12/2020,0,0,0,0
42,285,3,27/12/2020,0,0,0,0
43,285,1,27/12/2020,0,0,0,0
43,285,2,27/12/2020,0,0,0,0
43,285,3,27/12/2020,0,0,0,0
44,285,1,27/12/2020,0,0,0,0
44,285,2,27/12/2020,0,0,0,0
44,285,3,27/12/2020,0,0,0,0
45,285,1,27/12/2020,0,0,0,0
45,285,2,27/12/2020,0,0,0,0
45,285,3,27/12/2020,0,0,0,0
46,285,1,27/12/2020,0,0,0,0
46,285,2,27/12/2020,0,0,0,0
46,285,3,27/12/2020,0,0,0,0
47,285,1,27/12/2020,0,0,0,0
47,285,2,27/12/2020,0,0,0,0
