id_dep;id_date;id_classe_age_vac;n_dose1;n_dose2;n_cum_dose1;n_cum_dose2
0;285;24;0;0;0;0
0;285;29;0;0;0;0
0;285;39;0;0;0;0
0;285;49;0;0;0;0
0;285;59;0;0;0;0
0;285;64;0;0;0;0
0;285;69;0;0;0;0
0;285;74;0;0;0;0
0;285;79;0;0;0;0
0;285;80;0;0;0;0
1;285;24;0;0;0;0
1;285;29;0;0;0;0
1;285;39;0;0;0;0
1;285;49;0;0;0;0
1;285;59;0;0;0;0
1;285;64;0;0;0;0
1;285;69;0;0;0;0
1;285;74;0;0;0;0
1;285;79;0;0;0;0
1;285;80;0;0;0;0
2;285;24;0;0;0;0
2;285;29;0;0;0;0
2;285;39;0;0;0;0
2;285;49;0;0;0;0
2;285;59;0;0;0;0
2;285;64;0;0;0;0
2;285;69;0;0;0;0
2;285;74;0;0;0;0
2;285;79;0;0;0;0
2;285;80;0;0;0;0
3;285;24;0;0;0;0
3;285;29;0;0;0;0
3;285;39;0;0;0;0
3;285;49;0;0;0;0
3;285;59;0;0;0;0
3;285;64;0;0;0;0
3;285;69;0;0;0;0
3;285;74;0;0;0;0
3;285;79;0;0;0;0
3;285;80;0;0;0;0
4;285;24;0;0;0;0
4;285;29;0;0;0;0
4;285;39;0;0;0;0
4;285;49;0;0;0;0
4;285;59;0;0;0;0
4;285;64;0;0;0;0
4;285;69;0;0;0;0
4;285;74;0;0;0;0
4;285;79;0;0;0;0
4;285;80;0;0;0;0
5;285;24;0;0;0;0
5;285;29;0;0;0;0
5;285;39;0;0;0;0
5;285;49;0;0;0;0
5;285;59;0;0;0;0
5;285;64;0;0;0;0
5;285;69;0;0;0;0
5;285;74;0;0;0;0
5;285;79;0;0;0;0
5;285;80;0;0;0;0
6;285;24;0;0;0;0
6;285;29;0;0;0;0
6;285;39;0;0;0;0
6;285;49;0;0;0;0
6;285;59;0;0;0;0
6;285;64;0;0;0;0
6;285;69;0;0;0;0
6;285;74;0;0;0;0
6;285;79;0;0;0;0
6;285;80;0;0;0;0
7;285;24;0;0;0;0
7;285;29;0;0;0;0
7;285;39;0;0;0;0
7;285;49;0;0;0;0
7;285;59;0;0;0;0
7;285;64;0;0;0;0
7;285;69;0;0;0;0
7;285;74;0;0;0;0
7;285;79;0;0;0;0
7;285;80;0;0;0;0
8;285;24;0;0;0;0
8;285;29;0;0;0;0
8;285;39;0;0;0;0
8;285;49;0;0;0;0
8;285;59;0;0;0;0
8;285;64;0;0;0;0
8;285;69;0;0;0;0
8;285;74;0;0;0;0
8;285;79;0;0;0;0
8;285;80;0;0;0;0
9;285;24;0;0;0;0
9;285;29;0;0;0;0
9;285;39;0;0;0;0
9;285;49;0;0;0;0
9;285;59;0;0;0;0
9;285;64;0;0;0;0
9;285;69;0;0;0;0
9;285;74;0;0;0;0
9;285;79;0;0;0;0
9;285;80;0;0;0;0
10;285;24;0;0;0;0
10;285;29;0;0;0;0
10;285;39;0;0;0;0
10;285;49;0;0;0;0
10;285;59;0;0;0;0
10;285;64;0;0;0;0
10;285;69;0;0;0;0
10;285;74;0;0;0;0
10;285;79;0;0;0;0
10;285;80;0;0;0;0
11;285;24;0;0;0;0
11;285;29;0;0;0;0
11;285;39;0;0;0;0
11;285;49;0;0;0;0
11;285;59;0;0;0;0
11;285;64;0;0;0;0
11;285;69;0;0;0;0
11;285;74;0;0;0;0
11;285;79;0;0;0;0
11;285;80;0;0;0;0
12;285;24;0;0;0;0
12;285;29;0;0;0;0
12;285;39;0;0;0;0
12;285;49;0;0;0;0
12;285;59;0;0;0;0
12;285;64;0;0;0;0
12;285;69;0;0;0;0
12;285;74;0;0;0;0
12;285;79;0;0;0;0
12;285;80;0;0;0;0
13;285;24;0;0;0;0
13;285;29;0;0;0;0
13;285;39;0;0;0;0
13;285;49;0;0;0;0
13;285;59;0;0;0;0
13;285;64;0;0;0;0
13;285;69;0;0;0;0
13;285;74;0;0;0;0
13;285;79;0;0;0;0
13;285;80;0;0;0;0
14;285;24;0;0;0;0
14;285;29;0;0;0;0
14;285;39;0;0;0;0
14;285;49;0;0;0;0
14;285;59;0;0;0;0
14;285;64;0;0;0;0
14;285;69;0;0;0;0
14;285;74;0;0;0;0
14;285;79;0;0;0;0
14;285;80;0;0;0;0
15;285;24;0;0;0;0
15;285;29;0;0;0;0
15;285;39;0;0;0;0
15;285;49;0;0;0;0
15;285;59;0;0;0;0
15;285;64;0;0;0;0
15;285;69;0;0;0;0
15;285;74;0;0;0;0
15;285;79;0;0;0;0
15;285;80;0;0;0;0
16;285;24;0;0;0;0
16;285;29;0;0;0;0
16;285;39;0;0;0;0
16;285;49;0;0;0;0
16;285;59;0;0;0;0
16;285;64;0;0;0;0
16;285;69;0;0;0;0
16;285;74;0;0;0;0
16;285;79;0;0;0;0
16;285;80;0;0;0;0
17;285;24;0;0;0;0
17;285;29;0;0;0;0
17;285;39;0;0;0;0
17;285;49;0;0;0;0
17;285;59;0;0;0;0
17;285;64;0;0;0;0
17;285;69;0;0;0;0
17;285;74;0;0;0;0
17;285;79;0;0;0;0
17;285;80;0;0;0;0
18;285;24;0;0;0;0
18;285;29;0;0;0;0
18;285;39;0;0;0;0
18;285;49;0;0;0;0
18;285;59;0;0;0;0
18;285;64;0;0;0;0
18;285;69;0;0;0;0
18;285;74;0;0;0;0
18;285;79;0;0;0;0
18;285;80;0;0;0;0
19;285;24;0;0;0;0
19;285;29;0;0;0;0
19;285;39;0;0;0;0
19;285;49;0;0;0;0
19;285;59;0;0;0;0
19;285;64;0;0;0;0
19;285;69;0;0;0;0
19;285;74;0;0;0;0
19;285;79;0;0;0;0
19;285;80;0;0;0;0
21;285;24;0;0;0;0
21;285;29;0;0;0;0
21;285;39;0;0;0;0
21;285;49;0;0;0;0
21;285;59;0;0;0;0
21;285;64;1;0;1;0
21;285;69;0;0;0;0
21;285;74;0;0;0;0
21;285;79;0;0;0;0
21;285;80;3;0;3;0
22;285;24;0;0;0;0
22;285;29;0;0;0;0
22;285;39;0;0;0;0
22;285;49;0;0;0;0
22;285;59;0;0;0;0
22;285;64;0;0;0;0
22;285;69;0;0;0;0
22;285;74;0;0;0;0
22;285;79;0;0;0;0
22;285;80;0;0;0;0
23;285;24;0;0;0;0
23;285;29;0;0;0;0
23;285;39;0;0;0;0
23;285;49;0;0;0;0
23;285;59;0;0;0;0
23;285;64;0;0;0;0
23;285;69;0;0;0;0
23;285;74;0;0;0;0
23;285;79;0;0;0;0
23;285;80;0;0;0;0
24;285;24;0;0;0;0
24;285;29;0;0;0;0
24;285;39;0;0;0;0
24;285;49;0;0;0;0
24;285;59;0;0;0;0
24;285;64;0;0;0;0
24;285;69;0;0;0;0
24;285;74;0;0;0;0
24;285;79;0;0;0;0
24;285;80;0;0;0;0
25;285;24;0;0;0;0
25;285;29;0;0;0;0
25;285;39;0;0;0;0
25;285;49;0;0;0;0
25;285;59;0;0;0;0
25;285;64;0;0;0;0
25;285;69;0;0;0;0
25;285;74;0;0;0;0
25;285;79;0;0;0;0
25;285;80;0;0;0;0
26;285;24;0;0;0;0
26;285;29;0;0;0;0
