id_dep,id_date,n_dose1,n_dose2,n_cum_dose1,n_cum_dose2
0,285,0,0,0,0
1,285,0,0,0,0
2,285,0,0,0,0
3,285,0,0,0,0
4,285,0,0,0,0
5,285,0,0,0,0
6,285,0,0,0,0
7,285,0,0,0,0
8,285,0,0,0,0
9,285,0,0,0,0
10,285,0,0,0,0
11,285,0,0,0,0
12,285,0,0,0,0
13,285,0,0,0,0
14,285,0,0,0,0
15,285,0,0,0,0
16,285,0,0,0,0
17,285,0,0,0,0
18,285,0,0,0,0
19,285,0,0,0,0
21,285,4,0,4,0
22,285,0,0,0,0
23,285,0,0,0,0
24,285,0,0,0,0
25,285,0,0,0,0
26,285,0,0,0,0
27,285,0,0,0,0
28,285,0,0,0,0
29,285,0,0,0,0
2A,285,0,0,0,0
2B,285,0,0,0,0
30,285,0,0,0,0
31,285,0,0,0,0
32,285,0,0,0,0
33,285,0,0,0,0
34,285,0,0,0,0
35,285,0,0,0,0
36,285,0,0,0,0
37,285,0,0,0,0
38,285,0,0,0,0
39,285,0,0,0,0
40,285,0,0,0,0
41,285,0,0,0,0
42,285,0,0,0,0
43,285,0,0,0,0
44,285,0,0,0,0
45,285,0,0,0,0
46,285,0,0,0,0
47,285,0,0,0,0
48,285,0,0,0,0
49,285,0,0,0,0
50,285,0,0,0,0
51,285,0,0,0,0
52,285,0,0,0,0
53,285,0,0,0,0
54,285,0,0,0,0
55,285,0,0,0,0
56,285,0,0,0,0
57,285,0,0,0,0
58,285,0,0,0,0
59,285,0,0,0,0
60,285,0,0,0,0
61,285,0,0,0,0
62,285,0,0,0,0
63,285,0,0,0,0
64,285,0,0,0,0
65,285,0,0,0,0
66,285,0,0,0,0
67,285,0,0,0,0
68,285,0,0,0,0
69,285,0,0,0,0
70,285,0,0,0,0
71,285,0,0,0,0
72,285,0,0,0,0
73,285,0,0,0,0
74,285,0,0,0,0
75,285,0,0,0,0
76,285,0,0,0,0
77,285,0,0,0,0
78,285,0,0,0,0
79,285,0,0,0,0
80,285,0,0,0,0
81,285,0,0,0,0
82,285,0,0,0,0
83,285,0,0,0,0
84,285,0,0,0,0
85,285,0,0,0,0
86,285,0,0,0,0
87,285,0,0,0,0
88,285,0,0,0,0
89,285,0,0,0,0
90,285,0,0,0,0
91,285,0,0,0,0
92,285,0,0,0,0
93,285,9,0,9,0
94,285,2,0,2,0
95,285,1,0,1,0
970,285,0,0,0,0
971,285,0,0,0,0
972,285,0,0,0,0
973,285,0,0,0,0
974,285,0,0,0,0
976,285,0,0,0,0
977,285,0,0,0,0
978,285,0,0,0,0
0,286,0,0,0,0
1,286,0,0,0,0
2,286,0,0,0,0
3,286,0,0,0,0
4,286,0,0,0,0
5,286,0,0,0,0
6,286,0,0,0,0
7,286,0,0,0,0
8,286,0,0,0,0
9,286,0,0,0,0
10,286,0,0,0,0
11,286,0,0,0,0
12,286,0,0,0,0
13,286,0,0,0,0
14,286,0,0,0,0
15,286,0,0,0,0
16,286,0,0,0,0
17,286,0,0,0,0
18,286,0,0,0,0
19,286,0,0,0,0
21,286,0,0,4,0
22,286,0,0,0,0
23,286,0,0,0,0
24,286,0,0,0,0
25,286,0,0,0,0
26,286,0,0,0,0
27,286,0,0,0,0
28,286,0,0,0,0
29,286,0,0,0,0
2A,286,0,0,0,0
2B,286,0,0,0,0
30,286,0,0,0,0
31,286,0,0,0,0
32,286,0,0,0,0
33,286,0,0,0,0
34,286,0,0,0,0
35,286,0,0,0,0
36,286,0,0,0,0
37,286,17,0,17,0
38,286,0,0,0,0
39,286,0,0,0,0
40,286,0,0,0,0
41,286,0,0,0,0
42,286,0,0,0,0
43,286,0,0,0,0
44,286,0,0,0,0
45,286,0,0,0,0
46,286,0,0,0,0
47,286,0,0,0,0
48,286,0,0,0,0
49,286,0,0,0,0
50,286,0,0,0,0
51,286,0,0,0,0
52,286,0,0,0,0
53,286,0,0,0,0
54,286,0,0,0,0
55,286,0,0,0,0
56,286,0,0,0,0
57,286,0,0,0,0
58,286,0,0,0,0
59,286,25,0,25,0
60,286,0,0,0,0
61,286,0,0,0,0
62,286,1,0,1,0
63,286,0,0,0,0
64,286,0,0,0,0
65,286,0,0,0,0
66,286,0,0,0,0
67,286,0,0,0,0
68,286,0,0,0,0
69,286,6,0,6,0
70,286,0,0,0,0
71,286,0,0,0,0
72,286,0,0,0,0
73,286,0,0,0,0
74,286,0,0,0,0
75,286,0,0,0,0
76,286,0,0,0,0
77,286,0,0,0,0
78,286,0,0,0,0
79,286,0,0,0,0
80,286,0,0,0,0
81,286,0,0,0,0
82,286,0,0,0,0
83,286,0,0,0,0
84,286,0,0,0,0
85,286,0,0,0,0
86,286,0,0,0,0
87,286,1,0,1,0
88,286,0,0,0,0
89,286,0,0,0,0
90,286,0,0,0,0
91,286,0,0,0,0
92,286,2,0,2,0
93,286,0,0,9,0
94,286,5,0,7,0
95,286,0,0,1,0
970,286,0,0,0,0
971,286,0,0,0,0
972,286,0,0,0,0
973,286,0,0,0,0
974,286,0,0,0,0
976,286,0,0,0,0
977,286,0,0,0,0
978,286,0,0,0,0
0,287,0,0,0,0
1,287,0,0,0,0
2,287,0,0,0,0
3,287,0,0,0,0
4,287,0,0,0,0
5,287,0,0,0,0
6,287,0,0,0,0
7,287,0,0,0,0
8,287,0,0,0,0
9,287,0,0,0,0
10,287,0,0,0,0
11,287,0,0,0,0
12,287,0,0,0,0
13,287,0,0,0,0
14,287,0,0,0,0
15,287,0,0,0,0
16,287,0,0,0,0
17,287,0,0,0,0
18,287,0,0,0,0
19,287,0,0,0,0
21,287,19,0,23,0
22,287,0,0,0,0
23,287,0,0,0,0
24,287,2,0,2,0
25,287,0,0,0,0
26,287,0,0,0,0
27,287,1,0,1,0
28,287,0,0,0,0
29,287,0,0,0,0
2A,287,0,0,0,0
2B,287,0,0,0,0
30,287,0,0,0,0
31,287,0,0,0,0
32,287,0,0,0,0
33,287,0,0,0,0
34,287,0,0,0,0
35,287,0,0,0,0
36,287,0,0,0,0
37,287,9,0,26,0
38,287,0,0,0,0
39,287,0,0,0,0
40,287,0,0,0,0
41,287,0,0,0,0
42,287,0,0,0,0
43,287,0,0,0,0
44,287,0,0,0,0
45,287,0,0,0,0
46,287,0,0,0,0
47,287,0,0,0,0
48,287,0,0,0,0
49,287,0,0,0,0
50,287,1,0,1,0
51,287,0,0,0,0
52,287,0,0,0,0
53,287,0,0,0,0
54,287,0,0,0,0
55,287,0,0,0,0
56,287,0,0,0,0
57,287,0,0,0,0
58,287,0,0,0,0
59,287,0,0,25,0
60,287,1,0,1,0
61,287,0,0,0,0
62,287,0,0,1,0
63,287,0,0,0,0
64,287,0,0,0,0
65,287,0,0,0,0
66,287,0,0,0,0
67,287,0,0,0,0
68,287,0,0,0,0
69,287,5,0,11,0
70,287,0,0,0,0
71,287,0,0,0,0
72,287,0,0,0,0
73,287,0,0,0,0
74,287,0,0,0,0
75,287,5,0,5,0
76,287,0,0,0,0
77,287,0,0,0,0
78,287,0,0,0,0
79,287,0,0,0,0
80,287,11,0,11,0
81,287,0,0,0,0
82,287,0,0,0,0
83,287,0,0,0,0
84,287,0,0,0,0
85,287,0,0,0,0
86,287,0,0,0,0
87,287,0,0,1,0
88,287,0,0,0,0
89,287,0,0,0,0
90,287,0,0,0,0
91,287,0,0,0,0
92,287,50,0,52,0
93,287,0,0,9,0
94,287,0,0,7,0
95,287,0,0,1,0
970,287,0,0,0,0
971,287,0,0,0,0
972,287,0,0,0,0
973,287,0,0,0,0
974,287,0,0,0,0
976,287,0,0,0,0
977,287,0,0,0,0
978,287,0,0,0,0
0,288,0,0,0,0
1,288,0,0,0,0
2,288,0,0,0,0
3,288,0,0,0,0
4,288,0,0,0,0
5,288,0,0,0,0
6,288,3,0,3,0
7,288,0,0,0,0
8,288,0,0,0,0
9,288,0,0,0,0
10,288,0,0,0,0
11,288,0,0,0,0
12,288,0,0,0,0
13,288,0,0,0,0
14,288,0,0,0,0
15,288,0,0,0,0
16,288,0,0,0,0
17,288,1,0,1,0
18,288,0,0,0,0
19,288,0,0,0,0
21,288,20,0,43,0
22,288,0,0,0,0
23,288,0,0,0,0
24,288,1,0,3,0
25,288,0,0,0,0
26,288,0,0,0,0
27,288,0,0,1,0
28,288,0,0,0,0
29,288,0,0,0,0
2A,288,0,0,0,0
2B,288,0,0,0,0
30,288,0,0,0,0
31,288,0,0,0,0
